"gs_name","ensembl_gene"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000152689"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000171777"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000173039"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000104856"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000117676"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000281877"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000071242"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000177189"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000162302"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000100784"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000072133"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000126458"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000133818"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000115904"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000100485"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000112658"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000104375"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000101109"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000117632"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000100324"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000055208"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000160551"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000149930"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000135090"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000105329"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000092969"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000119699"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000106799"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000163513"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000204490"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000206439"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000223952"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000228321"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000228849"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000228978"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000230108"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000232810"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000067182"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000141510"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000127191"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000175104"
"NABA_MATRISOME","ENSG00000175899"
"NABA_MATRISOME","ENSG00000166535"
"NABA_MATRISOME","ENSG00000154175"
"NABA_MATRISOME","ENSG00000157766"
"NABA_MATRISOME","ENSG00000137845"
"NABA_MATRISOME","ENSG00000073670"
"NABA_MATRISOME","ENSG00000148848"
"NABA_MATRISOME","ENSG00000143537"
"NABA_MATRISOME","ENSG00000151694"
"NABA_MATRISOME","ENSG00000168619"
"NABA_MATRISOME","ENSG00000278548"
"NABA_MATRISOME","ENSG00000135074"
"NABA_MATRISOME","ENSG00000104755"
"NABA_MATRISOME","ENSG00000276286"
"NABA_MATRISOME","ENSG00000134007"
"NABA_MATRISOME","ENSG00000139985"
"NABA_MATRISOME","ENSG00000008277"
"NABA_MATRISOME","ENSG00000114948"
"NABA_MATRISOME","ENSG00000042980"
"NABA_MATRISOME","ENSG00000168594"
"NABA_MATRISOME","ENSG00000134249"
"NABA_MATRISOME","ENSG00000197140"
"NABA_MATRISOME","ENSG00000275594"
"NABA_MATRISOME","ENSG00000149451"
"NABA_MATRISOME","ENSG00000069206"
"NABA_MATRISOME","ENSG00000151651"
"NABA_MATRISOME","ENSG00000168615"
"NABA_MATRISOME","ENSG00000282230"
"NABA_MATRISOME","ENSG00000134028"
"NABA_MATRISOME","ENSG00000154734"
"NABA_MATRISOME","ENSG00000142303"
"NABA_MATRISOME","ENSG00000151388"
"NABA_MATRISOME","ENSG00000281690"
"NABA_MATRISOME","ENSG00000160323"
"NABA_MATRISOME","ENSG00000281244"
"NABA_MATRISOME","ENSG00000138316"
"NABA_MATRISOME","ENSG00000166106"
"NABA_MATRISOME","ENSG00000145536"
"NABA_MATRISOME","ENSG00000140470"
"NABA_MATRISOME","ENSG00000140873"
"NABA_MATRISOME","ENSG00000145808"
"NABA_MATRISOME","ENSG00000087116"
"NABA_MATRISOME","ENSG00000283802"
"NABA_MATRISOME","ENSG00000173157"
"NABA_MATRISOME","ENSG00000156140"
"NABA_MATRISOME","ENSG00000158859"
"NABA_MATRISOME","ENSG00000154736"
"NABA_MATRISOME","ENSG00000049192"
"NABA_MATRISOME","ENSG00000136378"
"NABA_MATRISOME","ENSG00000134917"
"NABA_MATRISOME","ENSG00000163638"
"NABA_MATRISOME","ENSG00000178031"
"NABA_MATRISOME","ENSG00000197859"
"NABA_MATRISOME","ENSG00000156218"
"NABA_MATRISOME","ENSG00000143382"
"NABA_MATRISOME","ENSG00000185761"
"NABA_MATRISOME","ENSG00000181092"
"NABA_MATRISOME","ENSG00000106624"
"NABA_MATRISOME","ENSG00000188157"
"NABA_MATRISOME","ENSG00000135744"
"NABA_MATRISOME","ENSG00000178522"
"NABA_MATRISOME","ENSG00000106927"
"NABA_MATRISOME","ENSG00000125363"
"NABA_MATRISOME","ENSG00000099721"
"NABA_MATRISOME","ENSG00000104899"
"NABA_MATRISOME","ENSG00000154188"
"NABA_MATRISOME","ENSG00000091879"
"NABA_MATRISOME","ENSG00000101280"
"NABA_MATRISOME","ENSG00000116194"
"NABA_MATRISOME","ENSG00000136859"
"NABA_MATRISOME","ENSG00000132855"
"NABA_MATRISOME","ENSG00000167772"
"NABA_MATRISOME","ENSG00000187151"
"NABA_MATRISOME","ENSG00000130812"
"NABA_MATRISOME","ENSG00000171819"
"NABA_MATRISOME","ENSG00000011201"
"NABA_MATRISOME","ENSG00000135046"
"NABA_MATRISOME","ENSG00000109511"
"NABA_MATRISOME","ENSG00000122359"
"NABA_MATRISOME","ENSG00000104537"
"NABA_MATRISOME","ENSG00000182718"
"NABA_MATRISOME","ENSG00000138772"
"NABA_MATRISOME","ENSG00000196975"
"NABA_MATRISOME","ENSG00000164111"
"NABA_MATRISOME","ENSG00000197043"
"NABA_MATRISOME","ENSG00000138279"
"NABA_MATRISOME","ENSG00000265190"
"NABA_MATRISOME","ENSG00000264230"
"NABA_MATRISOME","ENSG00000143412"
"NABA_MATRISOME","ENSG00000109321"
"NABA_MATRISOME","ENSG00000117407"
"NABA_MATRISOME","ENSG00000106819"
"NABA_MATRISOME","ENSG00000188886"
"NABA_MATRISOME","ENSG00000132692"
"NABA_MATRISOME","ENSG00000176697"
"NABA_MATRISOME","ENSG00000242252"
"NABA_MATRISOME","ENSG00000182492"
"NABA_MATRISOME","ENSG00000168487"
"NABA_MATRISOME","ENSG00000163217"
"NABA_MATRISOME","ENSG00000130385"
"NABA_MATRISOME","ENSG00000125845"
"NABA_MATRISOME","ENSG00000152785"
"NABA_MATRISOME","ENSG00000125378"
"NABA_MATRISOME","ENSG00000112175"
"NABA_MATRISOME","ENSG00000153162"
"NABA_MATRISOME","ENSG00000101144"
"NABA_MATRISOME","ENSG00000183682"
"NABA_MATRISOME","ENSG00000116985"
"NABA_MATRISOME","ENSG00000164619"
"NABA_MATRISOME","ENSG00000198797"
"NABA_MATRISOME","ENSG00000162670"
"NABA_MATRISOME","ENSG00000188334"
"NABA_MATRISOME","ENSG00000174808"
"NABA_MATRISOME","ENSG00000186665"
"NABA_MATRISOME","ENSG00000173372"
"NABA_MATRISOME","ENSG00000173369"
"NABA_MATRISOME","ENSG00000159189"
"NABA_MATRISOME","ENSG00000131094"
"NABA_MATRISOME","ENSG00000144119"
"NABA_MATRISOME","ENSG00000165985"
"NABA_MATRISOME","ENSG00000186897"
"NABA_MATRISOME","ENSG00000173918"
"NABA_MATRISOME","ENSG00000145861"
"NABA_MATRISOME","ENSG00000082196"
"NABA_MATRISOME","ENSG00000172247"
"NABA_MATRISOME","ENSG00000284838"
"NABA_MATRISOME","ENSG00000223953"
"NABA_MATRISOME","ENSG00000133466"
"NABA_MATRISOME","ENSG00000163145"
"NABA_MATRISOME","ENSG00000184471"
"NABA_MATRISOME","ENSG00000240654"
"NABA_MATRISOME","ENSG00000205863"
"NABA_MATRISOME","ENSG00000102924"
"NABA_MATRISOME","ENSG00000141668"
"NABA_MATRISOME","ENSG00000139899"
"NABA_MATRISOME","ENSG00000054803"
"NABA_MATRISOME","ENSG00000183287"
"NABA_MATRISOME","ENSG00000108702"
"NABA_MATRISOME","ENSG00000172156"
"NABA_MATRISOME","ENSG00000181374"
"NABA_MATRISOME","ENSG00000276409"
"NABA_MATRISOME","ENSG00000277236"
